jealand,	জ্যালান্ড,	জিল্যান্ড,	
heriser,	হেরিসের,	হ্যারিসের,	
nilabho,	নীলভ,	নীলাভ,	
xpose,	এক্সপ্সোস,	এক্সপোজ,	
bedanter,	বেদননতের,	বেদান্তের,	
modelling,	মোযাডেলিং,	মডেলিং,	
jeesh,	জিস,	জেস,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
haak,	হাক,	হুক,	
deubande,	দিউবন্ডে,	দেওবন্দে,	
eshiyetika,	এসিসিটেক,	এশিয়াটিক,	
taalgaachh,	তালগাছ,	তালগাছ,	
eenameel,	ইনামেল,	এনামেল,	
longghon,	লঙ্ঘন,	লংঘন,	
leadar,	লিডার,	লিডার,	
hyundai,	হাউন্ডে,	হুন্দাই,	
asaborno,	অসবর্ণ,	অসবর্ণ,	
shpredshiit,	স্প্রদেশিত,	স্প্রেডশীট,	
archimedeser,	আর্কিমাইজেদের,	আর্কিমিডিসের,	
bhangle,	ভাঙলে,	ভাঙলে,	
goshthiti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
phox,	ফক্স,	ফক্স,	
haran,	হারান,	হারান,	
nirdesika,	নির্দেশীকা,	নির্দেশিকা,	
ayadabhansada,	অ্যাডভানশড,	অ্যাডভান্সড,	
mukhomandaley,	মুখমণ্ডলে,	মুখমণ্ডলে,	
dakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
daqten,	ডাকতেন,	ডাকতেন,	
uindoos,	উইন্ডোজ,	উইন্ডোস,	
gage,	গেজ,	গেজ,	
babyloney,	বাবিলনে,	ব্যাবিলনে,	
governorer,	গভর্নরের,	গভর্ণরের,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
shuknaa,	শুকনা,	শুকনা,	
sedikei,	সেদিকেই,	সেদিকেই,	
foshter,	ফোস্টার,	ফস্টার,	
ganoporibahon,	গণপরিহহন,	গণপরিবহন,	
madhuri,	মধুরি,	মাধুরী,	
vangle,	ভাঙলে,	ভাঙলে,	
aalkatra,	আলকাত্র,	আলকাতরা,	
thatchar,	থাচার,	থ্যাচার,	
smaroker,	স্মারকের,	স্মারকের,	
nischoy,	নিশ্চে,	নিশ্চয়,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
patjata,	পাতজাতা,	পাটজাত,	
ogrodoot,	অগ্রদুত,	অগ্রদূত,	
marketin,	মার্কেটিন,	মার্কেটিং,	
cakee,	কেক,	কেকে,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
jaater,	যাতের,	জাতের,	
cheettronnattokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
irish,	আইরিশ,	আইরিস,	
suparahiro,	সুপারিহির,	সুপারহিরো,	
pratijogitar,	প্রতিযোগিতাট,	প্রতিযোগীতার,	
debaag,	দেবাগ,	ডিবাগ,	
popke,	পপকে,	পোপকে,	
amarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
embaed,	এমবাইড,	এম্বেড,	
norton,	নর্তন,	নর্টন,	
bijito,	বিজিত,	বিজিত,	
jaanar,	জানার,	জানার,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
bildara,	বিল্ডার,	বিল্ডার,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
ajeejer,	আজিজের,	আজিজের,	
apadan,	আপাদন,	অপাদান,	
ceramiker,	সেরামিকের,	সিরামিকের,	
jonoikaa,	জনিকা,	জনৈকা,	
osoborno,	অসবর্ন,	অসবর্ণ,	
eshkol,	এস্কল,	এসকল,	
neemitte,	নিমিততে,	নিমিত্তে,	
shikkharrthirao,	শিক্ষার্থীরার,	শিক্ষার্থীরাও,	
vushi,	ভুষি,	ভুষি,	
shayatana,	সায়াটন,	শয়তান,	
towbar,	তবার,	তওবার,	
pisach,	পিসাচ,	পিশাচ,	
edhdaning,	এডধানিং,	ইদানিং,	
palestiner,	পলেস্টিনের,	প্যালেস্টাইনের,	
raha,	রহ,	রঃ,	
puroheetder,	পুরহিতদের,	পুরোহিতদের,	
joubanbotii,	যৌবন্ততী,	যৌবনবতী,	
eidin,	এদিন,	এইদিন,	
augustine,	অগস্টিন,	অগাস্টিন,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
romantic,	রোমান্টিক,	রোমান্টিক,	
ottacharito,	অত্যাচারিত,	অত্যাচারিত,	
poroborti,	পরবর্তী,	পরর্বতী,	
tovnship,	তুনশিপ,	টাউনশিপ,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
uzbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
panchasjan,	পঞঁচাশজন,	পঞ্চাশজন,	
bandi,	বন্ডি,	বন্দী,	
superheira,	সুপারহাইরা,	সুপারহিরো,	
jerujalem,	জেরুলাজেম,	জেরুসালেম,	
floodliter,	ফ্লুডিিটের,	ফ্লাডলাইটের,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
abheedhaneek,	আভিধানিক,	অভিধানিক,	
hooq,	হোক,	হুক,	
thakani,	ঠাকানি,	থাকেনি,	
holuder,	হলুদের,	হলুদের,	
prothake,	প্রথাকে,	প্রথাকে,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
eokee,	ওকে,	এওকি,	
hondooras,	হন্ডুরাস,	হন্ডুরাস,	
shulke,	শুলকে,	শুল্কে,	
joki,	জোকি,	জকি,	
porizon,	পরিজন,	পরিজন,	
teentir,	তিনটির,	তিনটির,	
apachesta,	অপেচেস্ট,	অপচেষ্টা,	
kodguli,	কদগুলি,	কোডগুলি,	
aarcie,	আর্সি,	আরসিএ,	
skarrt,	স্কার্ট,	স্কার্ট,	
nirvahi,	নির্বাহী,	নির্বাহি,	
bhugole,	ভুগলে,	ভূগোলে,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
nathivukteer,	নথিভুক্তির,	নথিভুক্তির,	
karlo,	করল,	কার্লো,	
akpashe,	একপাশে,	একপাশে,	
keuyi,	কিউই,	কেউই,	
deenesh,	ডিনেস,	দীনেশ,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
marino,	মেরিন,	মারিনো,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
miley,	মিলে,	মিলে,	
bosanta,	বসন্ত,	বসন্ত,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
graameroi,	গ্রামের,	গ্রামেরই,	
chaaka,	চাক,	চাকা,	
manohputa,	মননপ্যাত,	মনঃপুত,	
pouch,	পৌঁচ,	পাউচ,	
paschater,	পাশ্চাতের,	পশ্চাতের,	
aipiela,	এপিল,	আইপিএল,	
byaboharkariderkey,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
protijogitar,	প্রতিযোগিতাট,	প্রতিযোগীতার,	
noditei,	নদীতেই,	নদীতেই,	
masazida,	মসাজিদ,	মসজিদ,	
anti,	অন্তি,	আন্টি,	
phiksha,	ফিক্স,	ফিক্স,	
jakso,	যক্ষ,	যক্ষ,	
gaje,	গেজ,	গেজ,	
military,	মিলিটারী,	মিলিটারি,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
ukeliptas,	উউকেলিপ্টেস্ট,	ইউক্যালিপ্টাস,	
shhow,	সৌ,	শো,	
bosten,	বসতেন,	বসতেন,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
teknokret,	টেকনোক্রট,	টেকনোক্র্যাট,	
sinake,	সিনাকে,	সিনাকে,	
eshiyatiqa,	এসিসেটিক,	এশিয়াটিক,	
daakope,	ডাকপে,	দাকোপ,	
nirikho,	নিরিখ্ষ,	নিরিখ,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
chet,	চেট,	চ্যাট,	
kolahol,	কলাহল,	কোলাহল,	
madelim,	ম্যাডেলিং,	মডেলিং,	
lisens,	লিসেন্স,	লাইসেন্স,	
garnar,	গার্নার,	গার্নার,	
technocrat,	টেকন্ক্রট,	টেকনোক্র্যাট,	
